index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand
0,40,50,0,0,240,40
1,25,85,20,0,191,40
2,22,75,30,0,199,40
3,22,85,10,0,190,40
4,20,80,40,141,171,40
5,20,85,20,0,189,40
6,18,75,20,0,196,40
7,15,75,20,0,194,40
8,15,80,10,91,121,40
9,10,35,20,91,121,40
10,10,40,30,0,198,40
11,8,40,40,59,89,40
12,8,45,20,0,197,40
13,5,35,10,142,172,40
14,5,45,10,0,194,40
15,2,40,20,58,88,40
16,0,40,20,0,188,40
17,0,45,20,0,189,40
18,44,5,20,0,184,40
19,42,10,40,0,189,40
20,42,15,10,0,194,40
21,40,5,10,0,185,40
22,40,15,40,0,195,40
23,38,5,30,65,95,40
24,38,15,10,0,194,40
25,35,5,20,154,184,40
26,95,30,30,0,171,40
27,95,35,20,0,172,40
28,92,30,10,0,174,40
29,90,35,10,0,177,40
30,88,30,10,0,178,40
31,88,35,20,0,179,40
32,87,30,10,0,178,40
33,85,25,10,0,178,40
34,85,35,30,0,182,40
35,67,85,20,0,185,40
36,65,85,40,0,186,40
37,65,82,10,0,189,40
38,62,80,30,75,105,40
39,60,80,10,0,193,40
40,60,85,30,0,189,40
41,58,75,20,0,199,40
42,55,80,10,0,196,40
43,55,85,20,0,191,40
44,55,82,10,64,94,40
45,20,82,10,0,192,40
46,18,80,10,0,192,40
47,2,45,10,0,191,40
48,42,5,10,0,184,40
49,42,12,10,0,191,40
50,72,35,30,0,194,40
51,55,20,19,0,196,40
52,25,30,3,0,205,40
53,20,50,5,91,121,40
54,55,60,16,0,211,40
55,30,60,16,140,170,40
56,50,35,19,0,211,40
57,30,25,23,0,203,40
58,15,10,20,152,182,40
59,10,20,19,0,187,40
60,15,60,17,0,203,40
61,45,65,9,0,214,40
62,65,35,3,52,82,40
63,65,20,6,0,190,40
64,45,30,17,0,209,40
65,35,40,16,0,218,40
66,41,37,16,0,216,40
67,64,42,9,70,100,40
68,40,60,21,0,220,40
69,31,52,27,41,71,40
70,35,69,23,0,210,40
71,65,55,14,0,204,40
72,63,65,8,0,202,40
73,2,60,5,0,190,40
74,20,20,8,141,171,40
75,5,5,16,0,172,40
76,60,12,31,75,105,40
77,23,3,7,150,180,40
78,8,56,27,0,197,40
79,6,68,30,89,119,40
80,47,47,13,0,222,40
81,49,58,10,0,217,40
82,27,43,9,0,215,40
83,37,31,14,0,210,40
84,57,29,18,96,126,40
85,63,23,2,0,194,40
86,21,24,28,0,197,40
87,12,24,13,90,120,40
88,24,58,19,0,212,40
89,67,5,25,0,177,40
90,37,47,6,0,225,40
91,49,42,13,0,217,40
92,53,43,14,14,44,40
93,61,52,3,0,208,40
94,57,48,23,0,212,40
95,56,37,6,0,209,40
96,55,54,26,0,214,40
97,4,18,35,0,181,40
98,26,52,9,0,215,40
99,26,35,15,77,107,40
100,31,67,3,180,210,40
