index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand
0,40,50,0,0,960,40
1,25,85,20,0,911,40
2,22,75,30,0,919,40
3,22,85,10,0,910,40
4,20,80,40,644,764,40
5,20,85,20,0,909,40
6,18,75,20,388,508,40
7,15,75,20,0,914,40
8,15,80,10,367,487,40
9,10,35,20,371,491,40
10,10,40,30,519,639,40
11,8,40,40,195,315,40
12,8,45,20,0,917,40
13,5,35,10,653,773,40
14,5,45,10,35,155,40
15,2,40,20,174,294,40
16,0,40,20,255,375,40
17,0,45,20,703,823,40
18,44,5,20,335,455,40
19,42,10,40,254,374,40
20,42,15,10,537,657,40
21,40,5,10,0,905,40
22,40,15,40,375,495,40
23,38,5,30,201,321,40
24,38,15,10,681,801,40
25,35,5,20,784,904,40
26,95,30,30,0,891,40
27,95,35,20,146,266,40
28,92,30,10,149,269,40
29,90,35,10,194,314,40
30,88,30,10,246,366,40
31,88,35,20,0,899,40
32,87,30,10,621,741,40
33,85,25,10,80,200,40
34,85,35,30,0,902,40
35,67,85,20,657,777,40
36,65,85,40,43,163,40
37,65,82,10,0,909,40
38,62,80,30,278,398,40
39,60,80,10,64,184,40
40,60,85,30,329,449,40
41,58,75,20,376,496,40
42,55,80,10,33,153,40
43,55,85,20,574,694,40
44,55,82,10,217,337,40
45,20,82,10,37,157,40
46,18,80,10,489,609,40
47,2,45,10,105,225,40
48,42,5,10,0,904,40
49,42,12,10,440,560,40
50,72,35,30,0,914,40
51,55,20,19,326,446,40
52,25,30,3,0,925,40
53,20,50,5,375,495,40
54,55,60,16,601,721,40
55,30,60,16,599,719,40
56,50,35,19,557,677,40
57,30,25,23,397,517,40
58,15,10,20,782,902,40
59,10,20,19,0,907,40
60,15,60,17,694,814,40
61,45,65,9,258,378,40
62,65,35,3,167,287,40
63,65,20,6,39,159,40
64,45,30,17,191,311,40
65,35,40,16,11,131,40
66,41,37,16,566,686,40
67,64,42,9,268,388,40
68,40,60,21,612,732,40
69,31,52,27,157,277,40
70,35,69,23,810,930,40
71,65,55,14,241,361,40
72,63,65,8,0,922,40
73,2,60,5,286,406,40
74,20,20,8,645,765,40
75,5,5,16,0,892,40
76,60,12,31,268,388,40
77,23,3,7,764,884,40
78,8,56,27,365,485,40
79,6,68,30,352,472,40
80,47,47,13,822,942,40
81,49,58,10,355,475,40
82,27,43,9,0,935,40
83,37,31,14,0,930,40
84,57,29,18,395,515,40
85,63,23,2,0,914,40
86,21,24,28,349,469,40
87,12,24,13,359,479,40
88,24,58,19,260,380,40
89,67,5,25,713,833,40
90,37,47,6,359,479,40
91,49,42,13,0,937,40
92,53,43,14,14,134,40
93,61,52,3,808,928,40
94,57,48,23,0,932,40
95,56,37,6,0,929,40
96,55,54,26,0,934,40
97,4,18,35,547,667,40
98,26,52,9,0,935,40
99,26,35,15,308,428,40
100,31,67,3,810,930,40
