index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand,service_time
0,40,50,0,0,960,40,0
1,25,85,20,388,911,40,10
2,22,75,30,30,546,40,10
3,22,85,10,353,708,40,10
4,20,80,40,425,913,40,10
5,20,85,20,40,630,40,10
6,18,75,20,228,667,40,10
7,15,75,20,161,558,40,10
8,15,80,10,229,624,40,10
9,10,35,20,213,648,40,10
10,10,40,30,404,753,40,10
11,8,40,40,33,511,40,10
12,8,45,20,46,519,40,10
13,5,35,10,395,911,40,10
14,5,45,10,35,697,40,10
15,2,40,20,39,528,40,10
16,0,40,20,94,535,40,10
17,0,45,20,394,909,40,10
18,44,5,20,218,571,40,10
19,42,10,40,85,542,40,10
20,42,15,10,391,802,40,10
21,40,5,10,45,517,40,10
22,40,15,40,229,640,40,10
23,38,5,30,45,523,40,10
24,38,15,10,389,914,40,10
25,35,5,20,386,904,40,10
26,95,30,30,389,788,40,10
27,95,35,20,57,600,40,10
28,92,30,10,55,575,40,10
29,90,35,10,52,536,40,10
30,88,30,10,90,521,40,10
31,88,35,20,50,534,40,10
32,87,30,10,425,898,40,10
33,85,25,10,51,602,40,10
34,85,35,30,342,751,40,10
35,67,85,20,410,905,40,10
36,65,85,40,43,617,40,10
37,65,82,10,410,823,40,10
38,62,80,30,114,561,40,10
39,60,80,10,36,658,40,10
40,60,85,30,191,586,40,10
41,58,75,20,201,670,40,10
42,55,80,10,33,568,40,10
43,55,85,20,429,838,40,10
44,55,82,10,49,504,40,10
45,20,82,10,37,597,40,10
46,18,80,10,315,782,40,10
47,2,45,10,38,606,40,10
48,42,5,10,396,904,40,10
49,42,12,10,341,658,40,10
50,72,35,30,351,782,40,10
51,55,20,19,161,610,40,10
52,25,30,3,25,516,40,10
53,20,50,5,239,630,40,10
54,55,60,16,448,873,40,10
55,30,60,16,420,897,40,10
56,50,35,19,390,843,40,10
57,30,25,23,227,686,40,10
58,15,10,20,401,902,40,10
59,10,20,19,42,706,40,10
60,15,60,17,401,923,40,10
61,45,65,9,110,525,40,10
62,65,35,3,29,548,40,10
63,65,20,6,39,593,40,10
64,45,30,17,20,498,40,10
65,35,40,16,11,530,40,10
66,41,37,16,404,847,40,10
67,64,42,9,100,555,40,10
68,40,60,21,436,907,40,10
69,31,52,27,9,510,40,10
70,35,69,23,330,930,40,10
71,65,55,14,81,520,40,10
72,63,65,8,27,622,40,10
73,2,60,5,135,556,40,10
74,20,20,8,430,913,40,10
75,5,5,16,63,520,40,10
76,60,12,31,125,530,40,10
77,23,3,7,390,900,40,10
78,8,56,27,190,659,40,10
79,6,68,30,215,608,40,10
80,47,47,13,444,942,40,10
81,49,58,10,249,580,40,10
82,27,43,9,14,506,40,10
83,37,31,14,19,566,40,10
84,57,29,18,259,650,40,10
85,63,23,2,198,609,40,10
86,21,24,28,212,605,40,10
87,12,24,13,272,565,40,10
88,24,58,19,90,549,40,10
89,67,5,25,325,897,40,10
90,37,47,6,204,633,40,10
91,49,42,13,442,937,40,10
92,53,43,14,14,581,40,10
93,61,52,3,373,928,40,10
94,57,48,23,265,638,40,10
95,56,37,6,20,539,40,10
96,55,54,26,418,825,40,10
97,4,18,35,426,787,40,10
98,26,52,9,14,499,40,10
99,26,35,15,149,586,40,10
100,31,67,3,356,930,40,10
