index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand
0,40,50,0,0,3390,50
1,52,75,10,302,479,50
2,45,70,30,157,428,50
3,62,69,10,1138,1355,50
4,60,66,10,1247,1434,50
5,42,65,10,15,208,50
6,16,42,20,209,944,50
7,58,70,20,1059,1246,50
8,34,60,20,2035,3288,50
9,28,70,10,2090,3271,50
10,35,66,10,2311,3283,50
11,35,69,10,2428,3127,50
12,25,85,20,1772,2625,50
13,22,75,30,2135,2834,50
14,22,85,10,1586,2625,50
15,20,80,40,1858,2733,50
16,20,85,40,1512,2515,50
17,18,75,20,1895,2886,50
18,15,75,20,1299,2344,50
19,15,80,10,1461,2372,50
20,30,50,10,10,963,50
21,30,56,20,2062,3288,50
22,28,52,20,12,752,50
23,14,66,10,1316,2129,50
24,25,50,10,15,532,50
25,22,66,40,2177,2990,50
26,8,62,10,1036,2213,50
27,23,52,10,17,602,50
28,4,55,20,1010,2043,50
29,20,50,10,20,948,50
30,20,55,10,63,702,50
31,10,35,20,309,1412,50
32,10,40,30,336,1009,50
33,8,40,40,234,1295,50
34,8,45,20,954,1897,50
35,5,35,10,377,1534,50
36,5,45,10,819,1846,50
37,2,40,20,494,1607,50
38,0,40,30,637,1648,50
39,0,45,20,834,1641,50
40,36,18,10,1468,2329,50
41,35,32,10,2480,3195,50
42,33,32,20,2421,3070,50
43,33,35,10,2368,2937,50
44,32,20,10,1621,2364,50
45,30,30,10,1805,2564,50
46,34,25,30,1782,2395,50
47,30,35,10,2242,2877,50
48,36,40,10,2605,3266,50
49,48,20,10,812,1281,50
50,26,32,10,1842,2901,50
51,25,30,10,1883,2676,50
52,25,35,10,2070,2859,50
53,44,5,20,1078,1593,50
54,42,10,40,998,1481,50
55,42,15,10,897,1392,50
56,40,5,30,1083,1776,50
57,38,15,40,1426,2183,50
58,38,5,30,1133,1910,50
59,38,10,10,1392,2027,50
60,35,5,20,1180,2049,50
61,50,30,10,223,738,50
62,50,35,20,18,474,50
63,50,40,50,14,360,50
64,48,30,10,246,899,50
65,44,25,10,704,1197,50
66,47,35,10,393,942,50
67,47,40,10,12,424,50
68,42,30,10,641,1070,50
69,45,35,10,534,985,50
70,95,30,30,2119,2682,50
71,95,35,20,2192,2419,50
72,53,30,10,131,644,50
73,92,30,10,2169,2818,50
74,53,35,50,87,498,50
75,45,65,20,49,346,50
76,90,35,10,2106,2315,50
77,72,45,10,2701,3258,50
78,78,40,20,2599,3164,50
79,87,30,10,2505,2870,50
80,85,25,10,2369,2816,50
81,85,35,30,2563,3002,50
82,75,55,20,1894,2115,50
83,72,55,10,1751,2072,50
84,70,58,20,1617,1824,50
85,86,46,30,1969,2248,50
86,66,55,10,1710,1921,50
87,64,46,20,2976,3275,50
88,65,60,30,1482,1769,50
89,56,64,10,1275,1594,50
90,60,55,10,2789,3279,50
91,60,60,10,1440,1621,50
92,67,85,20,646,901,50
93,42,58,40,8,258,50
94,65,82,10,708,1027,50
95,62,80,30,852,1069,50
96,62,40,10,2713,3275,50
97,60,85,30,537,816,50
98,58,75,20,948,1167,50
99,55,80,10,379,594,50
100,55,85,20,477,686,50
