index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand,service_time
0,40,50,0,0,3390,50,0
1,52,75,10,213,568,50,90
2,45,70,30,22,563,50,90
3,62,69,10,1030,1463,50,90
4,60,66,10,1154,1527,50,90
5,42,65,10,15,402,50,90
6,16,42,20,331,822,50,90
7,58,70,20,965,1340,50,90
8,34,60,20,2653,3280,50,90
9,28,70,10,2385,2976,50,90
10,35,66,10,2628,3113,50,90
11,35,69,10,2603,2952,50,90
12,25,85,20,1985,2412,50,90
13,22,75,30,2310,2659,50,90
14,22,85,10,1846,2365,50,90
15,20,80,40,2077,2514,50,90
16,20,85,40,1763,2264,50,90
17,18,75,20,2143,2638,50,90
18,15,75,20,1560,2083,50,90
19,15,80,10,1689,2144,50,90
20,30,50,10,10,645,50,90
21,30,56,20,2675,3288,50,90
22,28,52,20,12,505,50,90
23,14,66,10,1519,1926,50,90
24,25,50,10,23,368,50,90
25,22,66,40,2380,2787,50,90
26,8,62,10,1330,1919,50,90
27,23,52,10,93,484,50,90
28,4,55,20,1268,1785,50,90
29,20,50,10,168,787,50,90
30,20,55,10,170,595,50,90
31,10,35,20,585,1136,50,90
32,10,40,30,448,897,50,90
33,8,40,40,499,1030,50,90
34,8,45,20,1190,1661,50,90
35,5,35,10,666,1245,50,90
36,5,45,10,1076,1589,50,90
37,2,40,20,772,1329,50,90
38,0,40,30,890,1395,50,90
39,0,45,20,1036,1439,50,90
40,36,18,10,1612,2185,50,90
41,35,32,10,2599,3076,50,90
42,33,32,20,2529,2962,50,90
43,33,35,10,2463,2842,50,90
44,32,20,10,1745,2240,50,90
45,30,30,10,1932,2437,50,90
46,34,25,30,1884,2293,50,90
47,30,35,10,2348,2771,50,90
48,36,40,10,2715,3156,50,90
49,48,20,10,812,1281,50,90
50,26,32,10,2018,2725,50,90
51,25,30,10,2015,2544,50,90
52,25,35,10,2201,2728,50,90
53,44,5,20,1078,1593,50,90
54,42,10,40,998,1481,50,90
55,42,15,10,897,1392,50,90
56,40,5,30,1199,1660,50,90
57,38,15,40,1552,2057,50,90
58,38,5,30,1263,1780,50,90
59,38,10,10,1498,1921,50,90
60,35,5,20,1325,1904,50,90
61,50,30,10,223,738,50,90
62,50,35,20,18,474,50,90
63,50,40,50,14,360,50,90
64,48,30,10,246,899,50,90
65,44,25,10,704,1197,50,90
66,47,35,10,393,942,50,90
67,47,40,10,12,424,50,90
68,42,30,10,641,1070,50,90
69,45,35,10,534,985,50,90
70,95,30,30,2119,2682,50,90
71,95,35,20,2079,2532,50,90
72,53,30,10,131,644,50,90
73,92,30,10,2169,2818,50,90
74,53,35,50,87,498,50,90
75,45,65,20,15,607,50,90
76,90,35,10,2002,2419,50,90
77,72,45,10,2701,3258,50,90
78,78,40,20,2599,3164,50,90
79,87,30,10,2505,2870,50,90
80,85,25,10,2369,2816,50,90
81,85,35,30,2563,3002,50,90
82,75,55,20,1783,2226,50,90
83,72,55,10,1591,2232,50,90
84,70,58,20,1513,1928,50,90
85,86,46,30,1829,2388,50,90
86,66,55,10,1604,2027,50,90
87,64,46,20,2976,3275,50,90
88,65,60,30,1338,1913,50,90
89,56,64,10,1116,1753,50,90
90,60,55,10,2789,3279,50,90
91,60,60,10,1349,1712,50,90
92,67,85,20,518,1029,50,90
93,42,58,40,8,509,50,90
94,65,82,10,549,1186,50,90
95,62,80,30,744,1177,50,90
96,62,40,10,2713,3275,50,90
97,60,85,30,397,956,50,90
98,58,75,20,839,1276,50,90
99,55,80,10,272,701,50,90
100,55,85,20,373,790,50,90
