index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand,service_time
0,40,50,0,0,3390,50,0
1,52,75,10,0,3272,50,90
2,45,70,30,0,3279,50,90
3,62,69,10,0,3270,50,90
4,60,66,10,1261,1421,50,90
5,42,65,10,0,3284,50,90
6,16,42,20,497,657,50,90
7,58,70,20,0,3273,50,90
8,34,60,20,2887,3047,50,90
9,28,70,10,2601,2761,50,90
10,35,66,10,2791,2951,50,90
11,35,69,10,2698,2858,50,90
12,25,85,20,0,3261,50,90
13,22,75,30,2405,2565,50,90
14,22,85,10,2026,2186,50,90
15,20,80,40,2216,2376,50,90
16,20,85,40,1934,2094,50,90
17,18,75,20,2311,2471,50,90
18,15,75,20,1742,1902,50,90
19,15,80,10,1837,1997,50,90
20,30,50,10,10,170,50,90
21,30,56,20,0,3288,50,90
22,28,52,20,22,182,50,90
23,14,66,10,1643,1803,50,90
24,25,50,10,116,276,50,90
25,22,66,40,2504,2664,50,90
26,8,62,10,0,3265,50,90
27,23,52,10,209,369,50,90
28,4,55,20,1447,1607,50,90
29,20,50,10,398,558,50,90
30,20,55,10,303,463,50,90
31,10,35,20,0,3266,50,90
32,10,40,30,593,753,50,90
33,8,40,40,685,845,50,90
34,8,45,20,0,3267,50,90
35,5,35,10,876,1036,50,90
36,5,45,10,1253,1413,50,90
37,2,40,20,0,3260,50,90
38,0,40,30,1063,1223,50,90
39,0,45,20,1158,1318,50,90
40,36,18,10,1819,1979,50,90
41,35,32,10,2758,2918,50,90
42,33,32,20,2666,2826,50,90
43,33,35,10,2573,2733,50,90
44,32,20,10,1913,2073,50,90
45,30,30,10,2105,2265,50,90
46,34,25,30,2009,2169,50,90
47,30,35,10,2480,2640,50,90
48,36,40,10,0,3289,50,90
49,48,20,10,967,1127,50,90
50,26,32,10,0,3277,50,90
51,25,30,10,2200,2360,50,90
52,25,35,10,0,3278,50,90
53,44,5,20,1256,1416,50,90
54,42,10,40,1160,1320,50,90
55,42,15,10,1065,1225,50,90
56,40,5,30,1350,1510,50,90
57,38,15,40,1725,1885,50,90
58,38,5,30,1442,1602,50,90
59,38,10,10,0,3259,50,90
60,35,5,20,1535,1695,50,90
61,50,30,10,401,561,50,90
62,50,35,20,120,280,50,90
63,50,40,50,25,185,50,90
64,48,30,10,493,653,50,90
65,44,25,10,871,1031,50,90
66,47,35,10,588,748,50,90
67,47,40,10,12,172,50,90
68,42,30,10,776,936,50,90
69,45,35,10,680,840,50,90
70,95,30,30,2321,2481,50,90
71,95,35,20,2226,2386,50,90
72,53,30,10,0,3276,50,90
73,92,30,10,2414,2574,50,90
74,53,35,50,213,373,50,90
75,45,65,20,0,3284,50,90
76,90,35,10,2131,2291,50,90
77,72,45,10,2900,3060,50,90
78,78,40,20,2802,2962,50,90
79,87,30,10,2608,2768,50,90
80,85,25,10,2513,2673,50,90
81,85,35,30,2703,2863,50,90
82,75,55,20,0,3264,50,90
83,72,55,10,0,3267,50,90
84,70,58,20,1641,1801,50,90
85,86,46,30,0,3253,50,90
86,66,55,10,1736,1896,50,90
87,64,46,20,3097,3257,50,90
88,65,60,30,1546,1706,50,90
89,56,64,10,1355,1515,50,90
90,60,55,10,3119,3279,50,90
91,60,60,10,0,3277,50,90
92,67,85,20,694,854,50,90
93,42,58,40,8,168,50,90
94,65,82,10,0,3259,50,90
95,62,80,30,0,3262,50,90
96,62,40,10,0,3275,50,90
97,60,85,30,597,757,50,90
98,58,75,20,0,3269,50,90
99,55,80,10,407,567,50,90
100,55,85,20,502,662,50,90
