index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand
0,40,50,0,0,1236,50
1,45,68,10,0,1127,50
2,45,70,30,0,1125,50
3,42,66,10,0,1129,50
4,42,68,10,727,782,50
5,42,65,10,0,1130,50
6,40,69,20,621,702,50
7,40,66,20,0,1130,50
8,38,68,20,255,324,50
9,38,70,10,534,605,50
10,35,66,10,357,410,50
11,35,69,10,448,505,50
12,25,85,20,0,1107,50
13,22,75,30,30,92,50
14,22,85,10,567,620,50
15,20,80,40,384,429,50
16,20,85,40,475,528,50
17,18,75,20,99,148,50
18,15,75,20,179,254,50
19,15,80,10,278,345,50
20,30,50,10,10,73,50
21,30,52,20,0,1135,50
22,28,52,20,812,883,50
23,28,55,10,732,777,50
24,25,50,10,65,144,50
25,25,52,40,169,224,50
26,25,55,10,0,1130,50
27,23,52,10,261,316,50
28,23,55,20,546,593,50
29,20,50,10,358,405,50
30,20,55,10,449,504,50
31,10,35,20,0,1112,50
32,10,40,30,31,100,50
33,8,40,40,87,158,50
34,8,45,20,0,1113,50
35,5,35,10,283,344,50
36,5,45,10,665,716,50
37,2,40,20,0,1106,50
38,0,40,30,479,522,50
39,0,45,20,567,624,50
40,35,30,10,264,321,50
41,35,32,10,166,235,50
42,33,32,20,68,149,50
43,33,35,10,16,80,50
44,32,30,10,359,412,50
45,30,30,10,541,600,50
46,30,32,30,448,509,50
47,30,35,10,1054,1127,50
48,28,30,10,0,1122,50
49,28,35,10,1001,1066,50
50,26,32,10,0,1123,50
51,25,30,10,725,786,50
52,25,35,10,0,1124,50
53,44,5,20,286,347,50
54,42,10,40,186,257,50
55,42,15,10,95,158,50
56,40,5,30,385,436,50
57,40,15,40,35,87,50
58,38,5,30,471,534,50
59,38,15,10,0,1110,50
60,35,5,20,562,629,50
61,50,30,10,531,610,50
62,50,35,20,262,317,50
63,50,40,50,171,218,50
64,48,30,10,632,693,50
65,48,40,10,76,129,50
66,47,35,10,826,875,50
67,47,40,10,12,77,50
68,45,30,10,734,777,50
69,45,35,10,916,969,50
70,95,30,30,387,456,50
71,95,35,20,293,360,50
72,53,30,10,0,1122,50
73,92,30,10,478,551,50
74,53,35,50,353,412,50
75,45,65,20,0,1130,50
76,90,35,10,203,260,50
77,88,30,10,574,643,50
78,88,35,20,109,170,50
79,87,30,10,668,731,50
80,85,25,10,769,820,50
81,85,35,30,47,124,50
82,75,55,20,0,1110,50
83,72,55,10,0,1113,50
84,70,58,20,458,523,50
85,68,60,30,0,1116,50
86,66,55,10,173,238,50
87,65,55,20,85,144,50
88,65,60,30,645,708,50
89,63,58,10,737,802,50
90,60,55,10,20,84,50
91,60,60,10,0,1123,50
92,67,85,20,368,441,50
93,65,85,40,475,518,50
94,65,82,10,0,1105,50
95,62,80,30,0,1108,50
96,60,80,10,0,1109,50
97,60,85,30,561,622,50
98,58,75,20,0,1115,50
99,55,80,10,743,820,50
100,55,85,20,647,726,50
