index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand
0,35,35,0,0,230,41
1,41,49,10,151,181,41
2,35,17,7,40,70,41
3,55,45,13,106,136,41
4,55,20,19,139,169,41
5,15,30,26,24,54,41
6,25,30,3,89,119,41
7,20,50,5,71,101,41
8,10,43,9,85,115,41
9,55,60,16,87,117,41
10,30,60,16,114,144,41
11,20,65,12,57,87,41
12,50,35,19,53,83,41
13,30,25,23,149,179,41
14,15,10,20,32,62,41
15,30,5,8,51,81,41
16,10,20,19,65,95,41
17,5,30,2,147,177,41
18,20,40,12,77,107,41
19,15,60,17,66,96,41
20,45,65,9,116,146,41
21,45,20,11,52,82,41
22,45,10,18,87,117,41
23,55,5,29,58,88,41
24,65,35,3,143,173,41
25,65,20,6,156,186,41
26,45,30,17,122,152,41
27,35,40,16,27,57,41
28,41,37,16,29,59,41
29,64,42,9,53,83,41
30,40,60,21,61,91,41
31,31,52,27,40,70,41
32,35,69,23,131,161,41
33,53,52,11,27,57,41
34,65,55,14,107,137,41
35,63,65,8,133,163,41
36,2,60,5,41,71,41
37,20,20,8,124,154,41
38,5,5,16,73,103,41
39,60,12,31,34,64,41
40,40,25,9,75,105,41
41,42,7,5,87,117,41
42,24,12,5,25,55,41
43,23,3,7,122,152,41
44,11,14,18,59,89,41
45,6,38,16,29,59,41
46,2,48,1,107,137,41
47,8,56,27,41,71,41
48,13,52,36,155,185,41
49,6,68,30,98,128,41
50,47,47,13,114,144,41
51,49,58,10,78,108,41
52,27,43,9,42,72,41
53,37,31,14,85,115,41
54,57,29,18,130,160,41
55,63,23,2,126,156,41
56,53,12,6,120,150,41
57,32,12,7,91,121,41
58,36,26,18,180,210,41
59,21,24,28,17,47,41
60,17,34,3,152,182,41
61,12,24,13,66,96,41
62,24,58,19,48,78,41
63,27,69,10,34,64,41
64,15,77,9,63,93,41
65,62,77,20,49,79,41
66,49,73,25,117,147,41
67,67,5,25,73,103,41
68,56,39,36,132,162,41
69,37,47,6,40,70,41
70,37,56,5,168,198,41
71,57,68,15,67,97,41
72,47,16,25,25,55,41
73,44,17,9,68,98,41
74,46,13,8,139,169,41
75,49,11,18,59,89,41
76,49,42,13,63,93,41
77,53,43,14,169,199,41
78,61,52,3,86,116,41
79,57,48,23,82,112,41
80,56,37,6,168,198,41
81,55,54,26,84,114,41
82,15,47,16,45,75,41
83,14,37,11,34,64,41
84,11,31,7,91,121,41
85,16,22,41,81,111,41
86,4,18,35,84,114,41
87,28,18,26,83,113,41
88,26,52,9,64,94,41
89,26,35,15,166,196,41
90,31,67,3,85,115,41
91,15,19,1,150,180,41
92,22,22,2,18,48,41
93,18,24,22,169,199,41
94,26,27,27,90,120,41
95,25,24,20,29,59,41
96,22,27,11,125,155,41
97,25,21,12,123,153,41
98,19,21,10,48,78,41
99,20,26,9,73,103,41
100,18,18,17,165,195,41
