index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand
0,35,35,0,0,230,41
1,41,49,10,161,171,41
2,35,17,7,50,60,41
3,55,45,13,116,126,41
4,55,20,19,149,159,41
5,15,30,26,34,44,41
6,25,30,3,99,109,41
7,20,50,5,81,91,41
8,10,43,9,95,105,41
9,55,60,16,97,107,41
10,30,60,16,124,134,41
11,20,65,12,67,77,41
12,50,35,19,63,73,41
13,30,25,23,159,169,41
14,15,10,20,32,42,41
15,30,5,8,61,71,41
16,10,20,19,75,85,41
17,5,30,2,157,167,41
18,20,40,12,87,97,41
19,15,60,17,76,86,41
20,45,65,9,126,136,41
21,45,20,11,62,72,41
22,45,10,18,97,107,41
23,55,5,29,68,78,41
24,65,35,3,153,163,41
25,65,20,6,172,182,41
26,45,30,17,132,142,41
27,35,40,16,37,47,41
28,41,37,16,39,49,41
29,64,42,9,63,73,41
30,40,60,21,71,81,41
31,31,52,27,50,60,41
32,35,69,23,141,151,41
33,53,52,11,37,47,41
34,65,55,14,117,127,41
35,63,65,8,143,153,41
36,2,60,5,41,51,41
37,20,20,8,134,144,41
38,5,5,16,83,93,41
39,60,12,31,44,54,41
40,40,25,9,85,95,41
41,42,7,5,97,107,41
42,24,12,5,31,41,41
43,23,3,7,132,142,41
44,11,14,18,69,79,41
45,6,38,16,32,42,41
46,2,48,1,117,127,41
47,8,56,27,51,61,41
48,13,52,36,165,175,41
49,6,68,30,108,118,41
50,47,47,13,124,134,41
51,49,58,10,88,98,41
52,27,43,9,52,62,41
53,37,31,14,95,105,41
54,57,29,18,140,150,41
55,63,23,2,136,146,41
56,53,12,6,130,140,41
57,32,12,7,101,111,41
58,36,26,18,200,210,41
59,21,24,28,18,28,41
60,17,34,3,162,172,41
61,12,24,13,76,86,41
62,24,58,19,58,68,41
63,27,69,10,34,44,41
64,15,77,9,73,83,41
65,62,77,20,51,61,41
66,49,73,25,127,137,41
67,67,5,25,83,93,41
68,56,39,36,142,152,41
69,37,47,6,50,60,41
70,37,56,5,182,192,41
71,57,68,15,77,87,41
72,47,16,25,35,45,41
73,44,17,9,78,88,41
74,46,13,8,149,159,41
75,49,11,18,69,79,41
76,49,42,13,73,83,41
77,53,43,14,179,189,41
78,61,52,3,96,106,41
79,57,48,23,92,102,41
80,56,37,6,182,192,41
81,55,54,26,94,104,41
82,15,47,16,55,65,41
83,14,37,11,44,54,41
84,11,31,7,101,111,41
85,16,22,41,91,101,41
86,4,18,35,94,104,41
87,28,18,26,93,103,41
88,26,52,9,74,84,41
89,26,35,15,176,186,41
90,31,67,3,95,105,41
91,15,19,1,160,170,41
92,22,22,2,18,28,41
93,18,24,22,188,198,41
94,26,27,27,100,110,41
95,25,24,20,39,49,41
96,22,27,11,135,145,41
97,25,21,12,133,143,41
98,19,21,10,58,68,41
99,20,26,9,83,93,41
100,18,18,17,185,195,41
