index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand,service_time
0,35,35,0,0,230,41,0
1,41,49,10,15,204,41,10
2,35,17,7,18,202,41,10
3,55,45,13,54,187,41,10
4,55,20,19,138,169,41,10
5,15,30,26,20,199,41,10
6,25,30,3,76,131,41,10
7,20,50,5,21,170,41,10
8,10,43,9,87,112,41,10
9,55,60,16,88,115,41,10
10,30,60,16,107,150,41,10
11,20,65,12,57,86,41,10
12,50,35,19,15,192,41,10
13,30,25,23,147,180,41,10
14,15,10,20,32,187,41,10
15,30,5,8,50,81,41,10
16,10,20,19,29,139,41,10
17,5,30,2,124,189,41,10
18,20,40,12,47,136,41,10
19,15,60,17,32,146,41,10
20,45,65,9,79,182,41,10
21,45,20,11,18,195,41,10
22,45,10,18,76,127,41,10
23,55,5,29,58,87,41,10
24,65,35,3,58,190,41,10
25,65,20,6,153,186,41,10
26,45,30,17,58,208,41,10
27,35,40,16,8,75,41,10
28,41,37,16,6,136,41,10
29,64,42,9,29,150,41,10
30,40,60,21,49,102,41,10
31,31,52,27,17,198,41,10
32,35,69,23,67,186,41,10
33,53,52,11,24,92,41,10
34,65,55,14,36,183,41,10
35,63,65,8,116,178,41,10
36,2,60,5,41,112,41,10
37,20,20,8,42,198,41,10
38,5,5,16,74,101,41,10
39,60,12,31,33,110,41,10
40,40,25,9,65,114,41,10
41,42,7,5,72,131,41,10
42,24,12,5,25,91,41,10
43,23,3,7,82,185,41,10
44,11,14,18,59,88,41,10
45,6,38,16,29,99,41,10
46,2,48,1,63,180,41,10
47,8,56,27,34,176,41,10
48,13,52,36,27,192,41,10
49,6,68,30,93,132,41,10
50,47,47,13,41,203,41,10
51,49,58,10,36,149,41,10
52,27,43,9,11,195,41,10
53,37,31,14,87,112,41,10
54,57,29,18,90,197,41,10
55,63,23,2,126,155,41,10
56,53,12,6,106,163,41,10
57,32,12,7,48,163,41,10
58,36,26,18,178,210,41,10
59,21,24,28,17,202,41,10
60,17,34,3,70,201,41,10
61,12,24,13,29,132,41,10
62,24,58,19,46,79,41,10
63,27,69,10,34,172,41,10
64,15,77,9,48,107,41,10
65,62,77,20,49,113,41,10
66,49,73,25,104,159,41,10
67,67,5,25,73,102,41,10
68,56,39,36,117,176,41,10
69,37,47,6,39,70,41,10
70,37,56,5,123,198,41,10
71,57,68,15,39,148,41,10
72,47,16,25,22,197,41,10
73,44,17,9,30,135,41,10
74,46,13,8,138,169,41,10
75,49,11,18,27,192,41,10
76,49,42,13,65,90,41,10
77,53,43,14,168,199,41,10
78,61,52,3,71,130,41,10
79,57,48,23,84,109,41,10
80,56,37,6,135,198,41,10
81,55,54,26,57,140,41,10
82,15,47,16,23,196,41,10
83,14,37,11,21,198,41,10
84,11,31,7,93,118,41,10
85,16,22,41,23,177,41,10
86,4,18,35,49,148,41,10
87,28,18,26,88,107,41,10
88,26,52,9,50,107,41,10
89,26,35,15,68,211,41,10
90,31,67,3,46,153,41,10
91,15,19,1,25,194,41,10
92,22,22,2,18,53,41,10
93,18,24,22,129,199,41,10
94,26,27,27,35,174,41,10
95,25,24,20,14,205,41,10
96,22,27,11,51,204,41,10
97,25,21,12,92,183,41,10
98,19,21,10,21,198,41,10
99,20,26,9,74,101,41,10
100,18,18,17,159,195,41,10
