index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand
0,35,35,0,0,230,41
1,41,49,10,73,204,41
2,35,17,7,18,147,41
3,55,45,13,76,165,41
4,55,20,19,73,195,41
5,15,30,26,20,167,41
6,25,30,3,49,158,41
7,20,50,5,36,135,41
8,10,43,9,50,149,41
9,55,60,16,47,156,41
10,30,60,16,85,172,41
11,20,65,12,33,152,41
12,50,35,19,15,133,41
13,30,25,23,79,208,41
14,15,10,20,32,187,41
15,30,5,8,30,152,41
16,10,20,19,29,139,41
17,5,30,2,60,189,41
18,20,40,12,47,136,41
19,15,60,17,32,146,41
20,45,65,9,79,182,41
21,45,20,11,18,136,41
22,45,10,18,50,153,41
23,55,5,29,36,155,41
24,65,35,3,58,190,41
25,65,20,6,56,186,41
26,45,30,17,87,186,41
27,35,40,16,5,140,41
28,41,37,16,6,136,41
29,64,42,9,29,150,41
30,40,60,21,25,132,41
31,31,52,27,17,138,41
32,35,69,23,67,186,41
33,53,52,11,24,161,41
34,65,55,14,70,173,41
35,63,65,8,54,178,41
36,2,60,5,41,178,41
37,20,20,8,87,190,41
38,5,5,16,42,153,41
39,60,12,31,33,186,41
40,40,25,9,40,139,41
41,42,7,5,43,160,41
42,24,12,5,25,158,41
43,23,3,7,82,185,41
44,11,14,18,31,144,41
45,6,38,16,29,169,41
46,2,48,1,63,180,41
47,8,56,27,34,176,41
48,13,52,36,65,192,41
49,6,68,30,73,152,41
50,47,47,13,75,182,41
51,49,58,10,36,149,41
52,27,43,9,11,133,41
53,37,31,14,51,148,41
54,57,29,18,90,197,41
55,63,23,2,69,189,41
56,53,12,6,76,190,41
57,32,12,7,48,163,41
58,36,26,18,84,210,41
59,21,24,28,17,183,41
60,17,34,3,70,201,41
61,12,24,13,29,132,41
62,24,58,19,25,154,41
63,27,69,10,34,172,41
64,15,77,9,46,165,41
65,62,77,20,49,170,41
66,49,73,25,68,179,41
67,67,5,25,43,156,41
68,56,39,36,80,198,41
69,37,47,6,12,137,41
70,37,56,5,48,198,41
71,57,68,15,39,148,41
72,47,16,25,22,170,41
73,44,17,9,30,135,41
74,46,13,8,74,195,41
75,49,11,18,27,141,41
76,49,42,13,27,128,41
77,53,43,14,72,200,41
78,61,52,3,42,159,41
79,57,48,23,47,146,41
80,56,37,6,73,198,41
81,55,54,26,57,140,41
82,15,47,16,23,146,41
83,14,37,11,21,157,41
84,11,31,7,57,154,41
85,16,22,41,44,147,41
86,4,18,35,49,148,41
87,28,18,26,61,134,41
88,26,52,9,21,136,41
89,26,35,15,68,211,41
90,31,67,3,46,153,41
91,15,19,1,70,194,41
92,22,22,2,18,159,41
93,18,24,22,60,199,41
94,26,27,27,58,151,41
95,25,24,20,14,143,41
96,22,27,11,89,190,41
97,25,21,12,92,183,41
98,19,21,10,21,142,41
99,20,26,9,33,142,41
100,18,18,17,51,195,41
