index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand
0,35,35,0,0,1000,41
1,41,49,10,190,974,41
2,35,17,7,18,792,41
3,55,45,13,289,822,41
4,55,20,19,679,800,41
5,15,30,26,20,906,41
6,25,30,3,355,574,41
7,20,50,5,72,669,41
8,10,43,9,393,492,41
9,55,60,16,394,503,41
10,30,60,16,517,692,41
11,20,65,12,206,325,41
12,50,35,19,15,725,41
13,30,25,23,694,823,41
14,15,10,20,32,694,41
15,30,5,8,176,299,41
16,10,20,19,102,543,41
17,5,30,2,673,930,41
18,20,40,12,229,582,41
19,15,60,17,95,552,41
20,45,65,9,418,829,41
21,45,20,11,18,727,41
22,45,10,18,349,554,41
23,55,5,29,206,325,41
24,65,35,3,435,960,41
25,65,20,6,826,956,41
26,45,30,17,328,927,41
27,35,40,16,44,315,41
28,41,37,16,6,526,41
29,64,42,9,29,513,41
30,40,60,21,199,414,41
31,31,52,27,17,744,41
32,35,69,23,482,955,41
33,53,52,11,24,299,41
34,65,55,14,265,878,41
35,63,65,8,626,873,41
36,2,60,5,41,328,41
37,20,20,8,339,960,41
38,5,5,16,298,409,41
39,60,12,31,33,344,41
40,40,25,9,300,497,41
41,42,7,5,336,571,41
42,24,12,5,25,292,41
43,23,3,7,458,867,41
44,11,14,18,230,343,41
45,6,38,16,29,309,41
46,2,48,1,338,805,41
47,8,56,27,34,602,41
48,13,52,36,200,962,41
49,6,68,30,441,600,41
50,47,47,13,272,917,41
51,49,58,10,176,625,41
52,27,43,9,11,748,41
53,37,31,14,403,500,41
54,57,29,18,475,900,41
55,63,23,2,620,739,41
56,53,12,6,525,752,41
57,32,12,7,246,705,41
58,36,26,18,854,980,41
59,21,24,28,17,972,41
60,17,34,3,449,971,41
61,12,24,13,126,541,41
62,24,58,19,168,297,41
63,27,69,10,34,588,41
64,15,77,9,154,393,41
65,62,77,20,49,308,41
66,49,73,25,532,753,41
67,67,5,25,291,404,41
68,56,39,36,577,812,41
69,37,47,6,165,290,41
70,37,56,5,668,968,41
71,57,68,15,98,537,41
72,47,16,25,22,915,41
73,44,17,9,143,564,41
74,46,13,8,681,802,41
75,49,11,18,27,711,41
76,49,42,13,281,382,41
77,53,43,14,821,948,41
78,61,52,3,324,559,41
79,57,48,23,377,476,41
80,56,37,6,719,968,41
81,55,54,26,268,599,41
82,15,47,16,23,761,41
83,14,37,11,21,842,41
84,11,31,7,425,522,41
85,16,22,41,110,727,41
86,4,18,35,230,623,41
87,28,18,26,397,470,41
88,26,52,9,219,448,41
89,26,35,15,409,981,41
90,31,67,3,225,654,41
91,15,19,1,222,964,41
92,22,22,2,18,159,41
93,18,24,22,691,969,41
94,26,27,27,190,749,41
95,25,24,20,14,793,41
96,22,27,11,344,953,41
97,25,21,12,462,823,41
98,19,21,10,21,748,41
99,20,26,9,328,437,41
100,18,18,17,821,965,41
