index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand
0,35,35,0,0,1000,41
1,41,49,10,0,974,41
2,35,17,7,0,972,41
3,55,45,13,0,967,41
4,55,20,19,620,860,41
5,15,30,26,0,969,41
6,25,30,3,345,585,41
7,20,50,5,0,968,41
8,10,43,9,323,563,41
9,55,60,16,329,569,41
10,30,60,16,485,725,41
11,20,65,12,146,386,41
12,50,35,19,0,975,41
13,30,25,23,639,879,41
14,15,10,20,32,272,41
15,30,5,8,118,358,41
16,10,20,19,203,443,41
17,5,30,2,682,922,41
18,20,40,12,286,526,41
19,15,60,17,204,444,41
20,45,65,9,504,744,41
21,45,20,11,0,971,41
22,45,10,18,332,572,41
23,55,5,29,146,386,41
24,65,35,3,656,896,41
25,65,20,6,716,956,41
26,45,30,17,0,978,41
27,35,40,16,60,300,41
28,41,37,16,65,305,41
29,64,42,9,132,372,41
30,40,60,21,187,427,41
31,31,52,27,0,972,41
32,35,69,23,599,839,41
33,53,52,11,24,264,41
34,65,55,14,0,953,41
35,63,65,8,630,870,41
36,2,60,5,41,281,41
37,20,20,8,0,968,41
38,5,5,16,234,474,41
39,60,12,31,33,273,41
40,40,25,9,279,519,41
41,42,7,5,334,574,41
42,24,12,5,25,265,41
43,23,3,7,543,783,41
44,11,14,18,167,407,41
45,6,38,16,29,269,41
46,2,48,1,452,692,41
47,8,56,27,48,288,41
48,13,52,36,0,962,41
49,6,68,30,401,641,41
50,47,47,13,0,973,41
51,49,58,10,281,521,41
52,27,43,9,0,978,41
53,37,31,14,332,572,41
54,57,29,18,568,808,41
55,63,23,2,560,800,41
56,53,12,6,519,759,41
57,32,12,7,356,596,41
58,36,26,18,740,980,41
59,21,24,28,0,972,41
60,17,34,3,672,912,41
61,12,24,13,214,454,41
62,24,58,19,113,353,41
63,27,69,10,34,274,41
64,15,77,9,154,394,41
65,62,77,20,49,289,41
66,49,73,25,523,763,41
67,67,5,25,228,468,41
68,56,39,36,575,815,41
69,37,47,6,108,348,41
70,37,56,5,728,968,41
71,57,68,15,198,438,41
72,47,16,25,0,967,41
73,44,17,9,234,474,41
74,46,13,8,622,862,41
75,49,11,18,0,962,41
76,49,42,13,212,452,41
77,53,43,14,730,970,41
78,61,52,3,322,562,41
79,57,48,23,307,547,41
80,56,37,6,728,968,41
81,55,54,26,314,554,41
82,15,47,16,0,966,41
83,14,37,11,0,968,41
84,11,31,7,354,594,41
85,16,22,41,0,966,41
86,4,18,35,307,547,41
87,28,18,26,314,554,41
88,26,52,9,214,454,41
89,26,35,15,718,958,41
90,31,67,3,320,560,41
91,15,19,1,0,964,41
92,22,22,2,18,258,41
93,18,24,22,729,969,41
94,26,27,27,0,977,41
95,25,24,20,0,975,41
96,22,27,11,0,974,41
97,25,21,12,523,763,41
98,19,21,10,0,968,41
99,20,26,9,263,503,41
100,18,18,17,725,965,41
