index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand
0,35,35,0,0,1000,41
1,41,49,10,636,919,41
2,35,17,7,74,351,41
3,55,45,13,498,613,41
4,55,20,19,470,965,41
5,15,30,26,20,370,41
6,25,30,3,266,663,41
7,20,50,5,292,449,41
8,10,43,9,288,597,41
9,55,60,16,254,643,41
10,30,60,16,496,713,41
11,20,65,12,33,510,41
12,50,35,19,170,403,41
13,30,25,23,426,978,41
14,15,10,20,32,454,41
15,30,5,8,30,529,41
16,10,20,19,222,423,41
17,5,30,2,409,959,41
18,20,40,12,349,462,41
19,15,60,17,215,432,41
20,45,65,9,538,709,41
21,45,20,11,156,389,41
22,45,10,18,280,623,41
23,55,5,29,36,513,41
24,65,35,3,633,918,41
25,65,20,6,400,956,41
26,45,30,17,548,707,41
27,35,40,16,5,612,41
28,41,37,16,44,325,41
29,64,42,9,129,374,41
30,40,60,21,115,498,41
31,31,52,27,91,336,41
32,35,69,23,602,835,41
33,53,52,11,24,646,41
34,65,55,14,487,656,41
35,63,65,8,439,948,41
36,2,60,5,41,710,41
37,20,20,8,563,736,41
38,5,5,16,147,560,41
39,60,12,31,33,797,41
40,40,25,9,243,554,41
41,42,7,5,225,682,41
42,24,12,5,25,616,41
43,23,3,7,578,747,41
44,11,14,18,72,501,41
45,6,38,16,29,669,41
46,2,48,1,458,685,41
47,8,56,27,34,362,41
48,13,52,36,694,962,41
49,6,68,30,444,597,41
50,47,47,13,499,690,41
51,49,58,10,296,505,41
52,27,43,9,111,362,41
53,37,31,14,301,602,41
54,57,29,18,595,780,41
55,63,23,2,442,917,41
56,53,12,6,426,851,41
57,32,12,7,366,585,41
58,36,26,18,458,980,41
59,21,24,28,17,441,41
60,17,34,3,651,932,41
61,12,24,13,246,421,41
62,24,58,19,25,583,41
63,27,69,10,34,348,41
64,15,77,9,46,523,41
65,62,77,20,49,608,41
66,49,73,25,440,845,41
67,67,5,25,132,563,41
68,56,39,36,464,925,41
69,37,47,6,12,535,41
70,37,56,5,249,968,41
71,57,68,15,218,417,41
72,47,16,25,22,377,41
73,44,17,9,263,444,41
74,46,13,8,479,965,41
75,49,11,18,182,399,41
76,49,42,13,166,497,41
77,53,43,14,430,970,41
78,61,52,3,212,671,41
79,57,48,23,273,580,41
80,56,37,6,452,968,41
81,55,54,26,388,479,41
82,15,47,16,99,352,41
83,14,37,11,21,328,41
84,11,31,7,323,624,41
85,16,22,41,333,504,41
86,4,18,35,350,503,41
87,28,18,26,380,487,41
88,26,52,9,114,553,41
89,26,35,15,649,981,41
90,31,67,3,345,534,41
91,15,19,1,675,930,41
92,22,22,2,18,673,41
93,18,24,22,339,969,41
94,26,27,27,403,536,41
95,25,24,20,22,301,41
96,22,27,11,565,732,41
97,25,21,12,582,703,41
98,19,21,10,122,367,41
99,20,26,9,185,580,41
100,18,18,17,297,965,41
